id;view;wing;side;A_wing
EL75596;D;Ant;d;999349.5
EL75545;D;Post;d;999345.0
EL72685;D;Post;g;998813.0
EL72684;V;Post;g;998513.0
EL75686;D;Ant;g;997989.5
EL75545;V;Post;d;997933.0
EL72685;V;Post;g;995394.0
EL72598;V;Ant;g;995070.0
EL72681;D;Ant;d;993662.5
ACC0075;D;Ant;g;993046.5
EL72684;D;Post;g;991892.5
EL72453;V;Ant;g;990986.0
EL72431;V;Ant;g;990423.5
EL72611;V;Ant;g;990284.5
EL72465;V;Ant;d;989840.5
EL43196;D;Ant;g;988579.0
EL75685;D;Ant;d;988182.5
EL72670;V;Post;g;987606.0
ACC0020;V;Ant;d;987453.5
EL72670;D;Post;g;987391.0
EL72618;V;Ant;g;986866.0
EL72427;D;Ant;g;986293.5
EL72683;V;Ant;g;985264.0
EL72417;D;Ant;d;983848.5
EL75548;D;Post;d;983055.0
EL75548;V;Post;d;982514.5
ACC0033;V;Ant;g;980043.5
EL72520;D;Ant;g;979157.5
EL72600;D;Ant;d;979114.5
EL75524;D;Ant;g;978548.5
EL72487;V;Ant;g;978421.5
EL72676;V;Ant;d;977442.0
EL72446;V;Ant;g;977066.5
EL72486;V;Ant;d;976493.5
EL75581;V;Post;d;975812.0
EL75310;D;Ant;d;975232.5
EL75541;V;Ant;d;974087.0
ACC0038;D;Post;d;973252.5
EL75593;D;Ant;d;972930.0
ACC0042;D;Post;g;972867.0
ACC0017;D;Ant;d;972770.5
EL75581;D;Post;d;972243.5
EL75538;D;Ant;d;971686.0
ACC0042;V;Post;g;969564.5
EL72564;D;Ant;g;968784.5
EL72422;D;Post;g;968120.5
EL75737;V;Ant;g;967900.5
EL75386;V;Ant;d;967437.0
EL75559;D;Ant;g;967224.0
EL72686;V;Ant;d;965749.0
EL72679;D;Post;d;965064.0
EL72595;D;Ant;d;964960.5
EL72679;V;Post;d;964426.5
EL72464;D;Ant;d;963742.0
EL72422;V;Post;g;963500.0
EL72616;D;Post;d;962656.0
ACC0038;V;Post;d;962497.5
EL43219;D;Ant;d;962056.0
EL72667;D;Ant;d;961829.0
EL75505;D;Ant;d;961770.0
EL75507;D;Ant;d;961108.0
EL43175;D;Ant;d;959916.5
EL75565;D;Ant;g;959771.5
EL72616;V;Post;d;959297.0
EL72602;V;Ant;d;958873.0
EL72615;V;Ant;d;958744.0
EL72597;D;Ant;d;956272.5
EL72429;V;Ant;d;955706.5
EL75533;V;Ant;g;954015.5
