Species;AR;FA;PA;SA;AN;MA;LA;RU;AP;ZY;RO;HE
Allancastria_caucasica;1;0;0;0;0;0;0;0;0;0;0;0
Allancastria_cerisyi;1;0;0;0;0;0;0;0;0;0;0;0
Allancastria_cretica;1;0;0;0;0;0;0;0;0;0;0;0
Allancastria_deyrollei;1;0;0;0;0;0;0;0;0;0;0;0
Allancastria_louristana;1;0;0;0;0;0;0;0;0;0;0;0
Archon_apollinaris;1;0;0;0;0;0;0;0;0;0;0;0
Archon_apollinus1;1;0;0;0;0;0;0;0;0;0;0;0
Archon_apollinus2;1;0;0;0;0;0;0;0;0;0;0;0
Archon_bostanchii;1;0;0;0;0;0;0;0;0;0;0;0
Atrophaneura_dixoni;1;0;0;0;0;0;0;0;0;0;0;0
Atrophaneura_horishana;1;0;0;0;0;0;0;0;0;0;0;0
Atrophaneura_luchti;1;0;0;0;0;0;0;0;0;0;0;0
Atrophaneura_nox;1;0;0;0;0;0;0;0;0;0;0;0
Atrophaneura_priapus;1;0;0;0;0;0;0;0;0;0;0;0
Atrophaneura_varuna;1;0;0;0;0;0;0;0;0;0;0;0
Baronia_brevicornis;0;1;0;0;0;0;0;0;0;0;0;0
Battus_belus;1;0;0;0;0;0;0;0;0;0;0;0
Battus_crassus;1;0;0;0;0;0;0;0;0;0;0;0
Battus_ingenuus;1;0;0;0;0;0;0;0;0;0;0;0
Battus_philenor;1;0;0;0;0;0;0;0;0;0;0;0
Battus_polydamas;1;0;0;0;0;0;0;0;0;0;0;0
Battus_polystictus;1;0;0;0;0;0;0;0;0;0;0;0
Bhutanitis_lidderdalii;1;0;0;0;0;0;0;0;0;0;0;0
Bhutanitis_mansfieldi;1;0;0;0;0;0;0;0;0;0;0;0
Bhutanitis_thaidina;1;0;0;0;0;0;0;0;0;0;0;0
Byasa_alcinous;1;0;0;0;0;0;0;0;0;0;0;0
Byasa_dasarada;1;0;0;0;0;0;0;0;0;0;0;0
Byasa_impediens;1;0;0;0;0;0;0;0;0;0;0;0
Byasa_laos;1;0;0;0;0;0;0;0;0;0;0;0
Byasa_mencius;1;0;0;0;0;0;0;0;0;0;0;0
Byasa_plutonius;1;0;0;0;0;0;0;0;0;0;0;0
Byasa_polyeuctes;1;0;0;0;0;0;0;0;0;0;0;0
Cressida_cressida;1;0;0;0;0;0;0;0;0;0;0;0
Euryades_corethrus;1;0;0;0;0;0;0;0;0;0;0;0
Euryades_duponchelii;1;0;0;0;0;0;0;0;0;0;0;0
Eurytides_orabilis;0;0;0;0;1;0;0;0;0;0;0;0
Eurytides_serville;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_adamastor;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_agamemnon;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_agetes;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_androcles;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_angolanus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_antiphates;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_aristeus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_arycles;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_bathycles;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_chironides;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_cloanthus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_codrus;0;0;0;0;0;0;0;0;0;0;0;1
Graphium_decolor;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_delessertii;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_dorcus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_doson;0;0;0;0;1;0;1;0;0;0;0;0
Graphium_empedovana;0;0;0;0;0;0;0;0;0;0;0;1
Graphium_eurous;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_eurypylus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_evemon;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_glycerion;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_incertus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_latreillianus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_leechi;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_leonidas;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_macareus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_macfarlanei;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_macleayanus;0;0;0;0;1;0;1;0;0;0;0;0
Graphium_mandarinus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_meyeri;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_milon;0;0;0;0;0;0;1;0;0;0;0;0
Graphium_nomius;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_phidias;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_ramaceus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_ridleyanus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_sarpedon;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_schubotzi;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_sichuanica;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_stratiotes;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_tamerlanus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_thule;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_timur;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_tynderaeus;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_wallacei;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_weiskei;0;0;0;0;1;0;0;0;0;0;0;0
Graphium_xenocles;0;0;0;0;1;0;0;0;0;0;0;0
Hypermnestra_helios1;0;0;0;0;0;0;0;0;0;1;0;0
Hypermnestra_helios2;0;0;0;0;0;0;0;0;0;1;0;0
Iphiclides_feisthamelii;0;0;0;0;0;0;0;0;0;0;1;0
Iphiclides_podalirius;0;0;0;0;0;0;0;0;0;0;1;0
Lamproptera_curius;0;0;0;0;0;0;0;0;0;0;0;1
Lamproptera_meges;0;0;0;0;0;0;0;0;0;0;0;1
Losaria_coon;1;0;0;0;0;0;0;0;0;0;0;0
Losaria_neptunus;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_chinensis;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_japonica;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_longicaudata;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_puziloi;1;0;0;0;0;0;0;0;0;0;0;0
Luehdorfia_taibai;1;0;0;0;0;0;0;0;0;0;0;0
Meandrusa_payeni;0;0;0;0;0;0;1;0;0;0;0;0
Meandrusa_sciron;0;0;0;0;0;0;1;0;0;0;0;0
Mimoides_euryleon;0;0;0;0;1;0;0;0;0;0;0;0
Mimoides_ilus;0;0;0;0;1;0;0;0;0;0;0;0
Mimoides_lysithous;0;0;0;0;1;0;0;0;0;0;0;0
Mimoides_pausanias;0;0;0;0;1;0;0;0;0;0;0;0
Ornithoptera_aesacus;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_alexandrae;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_arfakensis;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_chimaera;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_croesus;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_euphorion;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_goliath;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_meridionalis;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_paradisea;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_priamus;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_richmondia;1;0;0;0;0;0;0;0;0;0;0;0
Ornithoptera_rothschildi;1;0;0;0;0;0;0;0;0;0;0;0
