id;view;wing;side;x;y;minor_axis;major_axis;distance_contours;distance_CU2;A_wing
ACC0001;V;Post;g;311.5935974;359.1972046;16.14161301;25.9939537;18.26066917;277.9654582;13140
ACC0001;V;Post;g;283.5867615;355.059906;21.38968468;25.86901283;15.70703976;288.9000322;13140
ACC0001;V;Post;g;279.9949951;326.3778381;20.59894943;25.20957565;15.46150283;267.7127994;13140
ACC0001;V;Post;g;285.083313;296.1837158;17.1615715;22.6348381;13.20778557;241.1689897;13140
ACC0001;V;Post;g;296.5478821;267.9544678;14.608078;20.98952866;11.39607056;212.6177097;13140
ACC0002;D;Ant;g;271.1811523;139.9596863;5.948261738;8.928296089;22.88651479;;17500
ACC0002;D;Post;g;329.4176941;377.8920593;9.776816368;20.44375992;19.36171953;296.8808163;12607
ACC0002;V;Post;g;329.5952759;380.2948914;17.81935692;22.9465847;16.80071448;299.1094543;12472
ACC0002;V;Post;g;301.2172852;378.2174072;19.31135368;22.77841377;15.68036274;307.1575652;12472
ACC0002;V;Post;g;295.694519;349.6218262;17.08015633;22.66804504;16.48722594;283.5152781;12472
ACC0002;V;Post;g;299.4413757;319.9466553;14.35420132;20.07002258;13.00230142;255.4742713;12472
ACC0002;V;Post;g;311.2832336;291.981781;13.19015217;16.57284927;10.08688859;225.2787488;12472
ACC0003;D;Ant;g;265.0161133;144.4615021;5.364999294;11.08325958;22.76732442;;20229
ACC0003;V;Ant;g;284.7007446;167.3140106;7.289014816;9.018936157;16.240044;;17989
ACC0003;V;Post;g;327.4433594;392.6347351;21.22810555;27.57244301;20.27925689;326.7049942;15152
ACC0003;V;Post;g;297.3099365;390.9352112;22.82484818;27.90508652;15.17980135;335.1295049;15152
ACC0003;V;Post;g;290.6582031;357.3804626;20.12671471;24.35110474;16.41140298;307.0572108;15152
ACC0003;V;Post;g;294.2484131;324.6988831;15.0579567;22.23517418;13.96061092;276.2097442;15152
ACC0003;V;Post;g;303.1876526;294.2820435;14.84541607;19.76159668;11.47555002;245.1977261;15152
