 ;Label;lumMean;lumSD;area;maxPower;maxFreq;propPower;sumPower;meanPower;powerSD;Mean;SD;File
1; _1482-2300;68.177;50.72;1806743.0;10.409;64.0;0.083;124.905;7.347;1.998;68.177;50.72;ACC0001D
1; _1403-2345;89.468;58.71;1790414.0;11.078;64.0;0.089;124.17;7.304;2.347;89.468;58.71;ACC0001V
1; _1619-2272;67.915;51.299;1819577.0;10.851;64.0;0.087;125.375;7.375;2.322;67.915;51.299;ACC0002D
1; _1567-2411;80.322;60.1;1816285.0;11.802;64.0;0.091;129.434;7.614;2.616;80.322;60.1;ACC0002V
1; _1510-2353;72.976;49.206;2122169.0;10.102;64.0;0.083;121.254;7.133;2.171;72.976;49.206;ACC0003D
1; _1560-2358;92.351;61.21;2158396.0;11.075;64.0;0.088;125.533;7.384;2.498;92.351;61.21;ACC0003V
1; _1566-2334;45.772;45.38;2273386.0;10.856;90.51;0.087;125.271;7.369;2.587;45.772;45.38;ACC0004D
1; _1508-2389;60.286;54.765;2264225.0;10.993;90.51;0.085;129.147;7.597;2.473;60.286;54.765;ACC0004V
1; _1676-2422;55.079;47.115;2090124.0;10.291;90.51;0.084;123.191;7.247;2.291;55.079;47.115;ACC0005D
1; _1694-2342;72.941;53.629;2042551.0;10.272;90.51;0.084;122.684;7.217;2.273;72.941;53.629;ACC0005V
1; _1535-2360;58.947;47.215;2225055.0;10.795;90.51;0.088;122.333;7.196;2.416;58.947;47.215;ACC0006D
1; _1502-2383;66.489;52.552;2238682.0;10.866;90.51;0.087;125.014;7.354;2.337;66.489;52.552;ACC0006V
1; _1412-2484;51.509;41.791;2390868.0;9.977;90.51;0.083;120.258;7.074;2.192;51.509;41.791;ACC0007D
1; _1518-2304;59.484;47.581;2356754.0;10.102;90.51;0.082;122.899;7.229;2.173;59.484;47.581;ACC0007V
1; _1724-2220;101.5;67.305;1607923.0;11.796;64.0;0.094;125.631;7.39;2.725;101.5;67.305;ACC0008D
1; _1570-2492;115.576;68.848;1647637.0;11.653;90.51;0.095;122.461;7.204;2.68;115.576;68.848;ACC0008V
1; _1636-2222;109.396;68.407;1472493.0;12.146;64.0;0.098;123.515;7.266;2.865;109.396;68.407;ACC0009D
1; _1557-2207;117.13;67.519;1475489.0;11.684;64.0;0.098;119.699;7.041;2.649;117.13;67.519;ACC0009V
1; _1665-2344;159.213;33.263;1623441.0;5.909;64.0;0.085;69.138;4.067;1.343;159.213;33.263;ACC0010D
1; _1357-2319;163.986;37.998;1632083.0;6.202;64.0;0.086;72.142;4.244;1.403;163.986;37.998;ACC0010V
1; _1576-2102;157.096;35.684;1127592.0;6.511;64.0;0.091;71.896;4.229;1.578;157.096;35.684;ACC0011D
1; _1791-2135;155.483;41.744;1150863.0;7.087;64.0;0.09;78.755;4.633;1.724;155.483;41.744;ACC0011V
1; _1421-2531;49.223;52.279;3738554.0;11.599;32.0;0.089;131.038;7.708;2.781;49.223;52.279;ACC0012D
1; _1401-2391;64.476;57.537;3681479.0;12.064;32.0;0.092;130.428;7.672;2.766;64.476;57.537;ACC0012V
1; _1476-2429;57.233;55.758;3546159.0;12.14;32.0;0.092;131.307;7.724;2.836;57.233;55.758;ACC0013D
1; _1516-2497;59.489;56.672;3517145.0;12.172;32.0;0.092;131.817;7.754;2.769;59.489;56.672;ACC0013V
1; _1455-2413;65.802;49.246;3737490.0;10.887;32.0;0.089;122.076;7.181;2.61;65.802;49.246;ACC0014D
1; _1424-2438;77.899;54.745;3679762.0;11.201;32.0;0.091;123.248;7.25;2.503;77.899;54.745;ACC0014V
1; _1368-2405;54.893;51.514;3485108.0;11.31;32.0;0.088;128.349;7.55;2.651;54.893;51.514;ACC0015D
1; _1485-2544;69.866;58.977;3421764.0;12.285;32.0;0.095;129.97;7.645;2.748;69.866;58.977;ACC0015V
1; _1566-2367;56.642;45.3;3125222.0;9.385;90.51;0.078;120.681;7.099;2.159;56.642;45.3;ACC0016D
1; _1348-2415;73.733;44.295;3147070.0;8.902;64.0;0.078;114.284;6.723;1.773;73.733;44.295;ACC0016V
1; _1532-2651;56.998;44.615;3014628.0;9.293;64.0;0.077;120.182;7.07;2.01;56.998;44.615;ACC0017D
1; _1514-2579;66.543;46.206;2950402.0;9.556;64.0;0.08;119.226;7.013;1.884;66.543;46.206;ACC0017V
1; _1421-2486;62.771;47.468;4053123.0;9.129;90.51;0.075;122.397;7.2;1.717;62.771;47.468;ACC0018D
1; _1432-2485;69.188;48.924;4042287.0;8.994;64.0;0.075;120.692;7.1;1.668;69.188;48.924;ACC0018V
1; _1444-2484;59.338;46.76;4496048.0;9.064;256.0;0.074;123.018;7.236;1.797;59.338;46.76;ACC0019D
1; _1378-2518;60.131;52.37;4392478.0;9.606;45.255;0.075;127.845;7.52;1.838;60.131;52.37;ACC0019V
1; _1514-2387;44.983;42.92;2979470.0;11.165;256.0;0.093;120.5;7.088;2.365;44.983;42.92;ACC0020D
1; _1257-2433;47.152;38.965;3028213.0;10.138;256.0;0.087;117.196;6.894;2.248;47.152;38.965;ACC0020V
1; _1258-2372;43.647;40.665;3244617.0;10.861;256.0;0.092;118.557;6.974;2.355;43.647;40.665;ACC0021D
1; _1381-2483;46.502;38.562;3271657.0;9.948;256.0;0.085;116.464;6.851;2.203;46.502;38.562;ACC0021V
1; _1472-2553;45.849;43.034;3601719.0;10.26;181.019;0.084;122.817;7.225;2.284;45.849;43.034;ACC0022D
1; _1508-2413;54.422;55.053;3613395.0;9.98;181.019;0.076;131.899;7.759;2.161;54.422;55.053;ACC0022V
1; _1533-2551;55.706;50.158;3600240.0;9.899;90.51;0.079;125.482;7.381;2.106;55.706;50.158;ACC0023D
1; _1457-2557;60.525;54.198;3626044.0;9.73;90.51;0.076;128.465;7.557;1.997;60.525;54.198;ACC0023V
1; _1368-2305;45.901;50.016;3068428.0;10.259;181.019;0.08;128.694;7.57;2.31;45.901;50.016;ACC0024D
1; _1272-2382;56.075;49.987;3047849.0;10.171;64.0;0.081;126.346;7.432;2.127;56.075;49.987;ACC0024V
1; _1461-2317;42.614;48.871;2431672.0;10.752;64.0;0.082;131.805;7.753;2.305;42.614;48.871;ACC0025D
1; _1328-2318;51.352;51.163;2420050.0;10.75;64.0;0.082;131.261;7.721;2.153;51.352;51.163;ACC0025V
1; _1363-2413;42.352;43.825;4245706.0;10.501;256.0;0.083;127.18;7.481;2.03;42.352;43.825;ACC0026D
1; _1388-2570;53.746;52.417;4136721.0;9.592;256.0;0.074;129.741;7.632;1.855;53.746;52.417;ACC0026V
1; _1383-2454;47.043;44.317;4167947.0;10.394;256.0;0.084;124.414;7.318;1.876;47.043;44.317;ACC0027D
1; _1376-2621;51.018;48.911;4052608.0;9.601;256.0;0.076;127.019;7.472;1.777;51.018;48.911;ACC0027V
1; _1584-2270;31.626;33.774;2318269.0;10.623;90.51;0.088;121.196;7.129;2.486;31.626;33.774;ACC0028D
1; _1588-2225;47.841;46.194;2363450.0;10.906;90.51;0.087;125.745;7.397;2.179;47.841;46.194;ACC0028V
1; _1416-2339;31.978;30.477;3235573.0;10.133;90.51;0.086;117.22;6.895;2.447;31.978;30.477;ACC0029D
1; _1371-2432;42.427;42.229;3180113.0;10.45;90.51;0.085;122.82;7.225;2.153;42.427;42.229;ACC0029V
1; _1376-2644;59.697;42.346;3198489.0;9.529;181.019;0.081;118.327;6.96;2.096;59.697;42.346;ACC0030D
1; _1257-2575;61.247;54.705;3448866.0;10.478;90.51;0.081;129.536;7.62;2.226;61.247;54.705;ACC0030V
1; _1470-2568;66.076;41.573;3732787.0;9.328;256.0;0.081;114.794;6.753;1.915;66.076;41.573;ACC0031D
1; _1436-2516;66.222;52.303;3722370.0;9.826;90.51;0.078;125.36;7.374;2.043;66.222;52.303;ACC0031V
1; _1240-2575;25.633;31.067;2839803.0;10.593;256.0;0.089;119.137;7.008;2.576;25.633;31.067;ACC0032D
1; _1370-2730;38.496;34.737;2922091.0;10.163;90.51;0.087;117.477;6.91;2.363;38.496;34.737;ACC0032V
1; _1469-2612;63.047;31.246;3328328.0;8.87;256.0;0.084;105.095;6.182;2.026;63.047;31.246;ACC0033D
1; _1344-2542;59.163;37.47;3282432.0;8.872;90.51;0.079;111.903;6.583;1.936;59.163;37.47;ACC0033V
1; _1553-2238;42.917;35.976;2280427.0;10.14;90.51;0.085;118.959;6.998;2.156;42.917;35.976;ACC0034D
1; _1425-2410;53.833;40.395;2330172.0;10.095;90.51;0.085;118.154;6.95;2.01;53.833;40.395;ACC0034V
1; _1207-2490;52.248;46.861;3274415.0;10.19;256.0;0.083;122.577;7.21;2.345;52.248;46.861;ACC0035D
1; _1424-2522;59.577;44.498;3381423.0;9.964;256.0;0.084;118.176;6.952;2.254;59.577;44.498;ACC0035V
1; _1416-2521;49.791;48.709;3549086.0;10.752;256.0;0.087;124.276;7.31;2.477;49.791;48.709;ACC0036D
1; _1427-2486;57.529;45.367;3611125.0;9.758;256.0;0.081;119.795;7.047;2.165;57.529;45.367;ACC0036V
1; _1459-2391;66.063;40.813;4782052.0;8.8;256.0;0.077;114.396;6.729;1.883;66.063;40.813;ACC0037D
1; _1407-2369;66.467;48.968;4823431.0;9.2;45.255;0.075;122.297;7.194;1.861;66.467;48.968;ACC0037V
1; _1454-2250;60.021;43.69;4599847.0;9.744;181.019;0.083;116.905;6.877;2.274;60.021;43.69;ACC0038D
1; _1345-2334;57.401;51.041;4690282.0;9.945;181.019;0.079;126.567;7.445;2.306;57.401;51.041;ACC0038V
1; _1386-2620;39.739;37.496;3989112.0;9.477;256.0;0.081;117.68;6.922;2.196;39.739;37.496;ACC0039D
1; _1389-2612;71.976;58.705;3926104.0;9.909;64.0;0.078;127.047;7.473;2.031;71.976;58.705;ACC0039V
1; _1398-2350;55.805;46.755;4928554.0;9.115;45.255;0.076;120.477;7.087;1.894;55.805;46.755;ACC0040D
1; _1422-2315;78.635;60.866;4838138.0;9.781;90.51;0.076;128.306;7.547;1.898;78.635;60.866;ACC0040V
1; _1453-2435;64.967;55.396;4438301.0;9.051;45.255;0.072;124.994;7.353;1.727;64.967;55.396;ACC0041D
1; _1529-2406;72.017;61.237;4386819.0;9.925;90.51;0.076;131.261;7.721;1.844;72.017;61.237;ACC0041V
1; _1483-2281;65.611;52.327;5026863.0;8.717;45.255;0.072;120.472;7.087;1.729;65.611;52.327;ACC0042D
1; _1418-2384;71.387;58.072;4868601.0;9.416;90.51;0.074;127.409;7.495;1.782;71.387;58.072;ACC0042V
1; _1590-2586;40.102;46.034;2709202.0;11.922;256.0;0.095;125.943;7.408;2.907;40.102;46.034;ACC0043D
1; _1574-2481;56.159;49.534;2673639.0;10.502;64.0;0.084;125.067;7.357;2.523;56.159;49.534;ACC0043V
1; _1521-2326;45.862;46.109;2251455.0;11.291;256.0;0.091;124.328;7.313;2.778;45.862;46.109;ACC0044D
1; _1581-2514;57.862;45.333;2215901.0;9.97;181.019;0.082;121.204;7.13;2.366;57.862;45.333;ACC0044V
1; _1459-2534;74.873;56.004;4077864.0;11.064;256.0;0.089;123.936;7.29;2.288;74.873;56.004;ACC0045D
1; _1461-2490;82.43;61.339;3997606.0;11.057;256.0;0.087;127.054;7.474;2.315;82.43;61.339;ACC0045V
1; _1385-2331;70.994;52.491;4244683.0;10.923;256.0;0.09;121.854;7.168;2.27;70.994;52.491;ACC0046D
1; _1587-2374;84.088;63.577;4217243.0;11.257;256.0;0.087;129.282;7.605;2.384;84.088;63.577;ACC0046V
1; _1418-2582;24.593;37.421;2793063.0;11.464;256.0;0.091;125.513;7.383;2.99;24.593;37.421;ACC0047D
1; _1368-2633;38.625;36.895;2755606.0;10.891;90.51;0.091;119.086;7.005;2.76;38.625;36.895;ACC0047V
1; _1552-2383;28.142;38.091;2704532.0;10.971;90.51;0.088;124.026;7.296;2.832;28.142;38.091;ACC0048D
1; _1479-2533;36.241;35.242;2688068.0;10.99;90.51;0.092;119.667;7.039;2.77;36.241;35.242;ACC0048V
1; _1514-2565;38.829;31.073;3653250.0;10.145;256.0;0.088;114.699;6.747;2.495;38.829;31.073;ACC0049D
1; _1518-2480;48.397;38.853;3694136.0;10.4;90.51;0.088;118.025;6.943;2.315;48.397;38.853;ACC0049V
1; _1256-2651;31.582;30.283;3756642.0;10.811;256.0;0.092;117.09;6.888;2.703;31.582;30.283;ACC0050D
