"Tundra";"Tropical & Subtropical Moist Broadleaf Forests";"Mediterranean Forests, Woodlands & Scrub";"Deserts & Xeric Shrublands";"Temperate Grasslands, Savannas & Shrublands";"Boreal Forests/Taiga";"Temperate Conifer Forests";"Temperate Broadleaf & Mixed Forests";"Montane Grasslands & Shrublands";"Mangroves";"Flooded Grasslands & Savannas";"Tropical & Subtropical Grasslands, Savannas & Shrublands";"Tropical & Subtropical Dry Broadleaf Forests";"Tropical & Subtropical Coniferous Forests";"N/A"
"Baronia_brevicornis";0;0.138;0;0;0;0;0;0;0;0.041;0;0;76.726;23.095;0
"Archon_apollinaris";0;0;13.963;0.399;40.454;0;3.466;41.717;0;0;0;0;0;0;0
"Graphium_agetes";0;58.475;0;0;0;0;5.322;13.645;12.801;0.195;0;0.619;7.194;0.774;0.975
"Graphium_macleayanus";0.001;0.433;11.016;45.686;6.911;0;0;7.158;0.161;0;0;28.634;0;0;0
"Graphium_meyeri";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Luehdorfia_chinensis";0;19.382;0;0;0;0;7.018;63.228;10.219;0;0.154;0;0;0;0
"Bhutanitis_thaidina";0;68.806;0;0;0;0;15.52;14.423;1.251;0;0;0;0;0;0
"Allancastria_deyrollei";0;0;35.709;12.527;27.198;0;6.327;18.24;0;0;0;0;0;0;0
"Allancastria_cretica";0;0;90.173;0;0;0;0;9.827;0;0;0;0;0;0;0
"Allancastria_cerisyi";0;0;43.186;0;3.867;0;7.654;45.293;0;0;0;0;0;0;0
"Parnassius_apollonius";0;0;0;43.075;42.076;0;1.557;2.111;11.18;0;0;0;0;0;0
"Luehdorfia_japonica";0;0;0;0;0;0;3.508;96.492;0;0;0;0;0;0;0
"Parnassius_tianschanicus";0;0;0;15.829;29.191;0;3.405;3.472;41.722;0;0;0;0;2.629;3.753
"Luehdorfia_puziloi";0.233;0;0;0;0;17.703;2.736;69.992;0;0;9.337;0;0;0;0
"Mimoides_lysithous";0;47.094;0;0;0.604;0;0;0;0;0.262;1.611;48.837;1.592;0;0
"Parnassius_actius";0;0;0;9.489;8.524;0;2.168;1.48;75.273;0;0;0;0;0.214;2.853
"Parnassius_epaphus";0;0.241;0;12.935;0;0;1.51;2.042;79.035;0;0;0.074;0;0.286;3.876
"Parnassius_autocrator";0;0;0;35.894;10.251;0;0;0;50.358;0;0;0;0;0;3.497
"Parnassius_sacerdos";0;0;9.02;0;0;0;69.572;21.408;0;0;0;0;0;0;0
"Parnassius_bremeri";4.218;0;0;0;7.212;44.176;7.403;30.784;0;0;6.208;0;0;0;0
"Parnassius_charltonius";0;0;0;2.79;5.914;0;2.266;3.11;76.153;0;0;0;0;0;9.767
"Parnassius_simo";0;4.546;0;37.618;7.515;0;3.36;2.971;19.832;0;0.009;2.595;14.236;4.107;3.213
"Parnassius_simonius";0;0;0;0;0;0;0;0;98.184;0;0;0;0;0;1.816
"Parnassius_orleans";0;0;0;37.22;13.116;0.756;5.243;1.083;41.458;0;0;0;0;0;1.124
"Parnassius_clodius";0;0;3.537;5.22;10.527;0;80.712;0;0;0;0;0;0;0;0.004
"Parnassius_delphius";0;0;0;9.751;27.762;0;6.614;0;55.873;0;0;0;0;0;0
"Parnassius_eversmanni";29.805;0.049;0;10.173;8.702;41.753;3.544;4.353;1.216;0;0;0;0;0;0.404
"Parnassius_glacialis";0;0;0;0;0;0;6.357;93.643;0;0;0;0;0;0;0
"Parnassius_honrathi";0;0;0;66.233;8.909;0;1.648;0;22.156;0;0;0;0;0;1.054
"Parnassius_ariadne";0;0;0;0.065;15.607;0;45.23;0;39.098;0;0;0;0;0;0
"Parnassius_hardwickii";0;1.462;0;1.165;0;0;7.859;16.486;58.251;0;0;0.034;0;7.435;7.308
"Parnassius_acco";0;0.002;0;36.511;1.686;0;4.589;4.401;50.037;0;0;0;0;0.615;2.16
"Parnassius_szechenyii";0;0;0;33.655;1.634;0;3.814;1.57;57.696;0;0;0;0;0;1.631
"Parnassius_jacquemontii";0;0;0;5.207;6.217;0;1.489;3.044;81.717;0;0;0;0;0.246;2.08
"Parnassius_augustus";0;0.997;0;0;0;0;10.717;15.864;15.571;0;0;0;0;20.311;36.539
"Parnassius_imperator";0;0;0;33.655;1.634;0;3.814;1.57;57.696;0;0;0;0;0;1.631
"Parnassius_inopinatus";0;0;0;80.293;0.542;0;2.013;0;17.048;0;0;0;0;0;0.103
"Parnassius_nomion";0.52;0;0;3.967;24.027;18.76;22.142;17.911;5.968;0;6.705;0;0;0;0
"Parnassius_nordmanni";0;0;0;6.577;2.826;0;0;90.597;0;0;0;0;0;0;0
"Parnassius_phoebus";37.587;0;0;2.12;2.864;50.338;4.847;0;2.243;0;0;0;0;0;0
"Parnassius_maximinus";0;0;0;55.084;11.444;0;2.114;2.66;27.92;0;0;0;0;0;0.777
"Iphiclides_feisthamelii";0;0;83.318;0.824;0;0;1.84;13.41;0.609;0;0;0;0;0;0
"Iphiclides_podalirius";0;0;10.899;11.764;19.659;3.728;5.239;48.62;0.091;0;0;0;0;0;0
"Lamproptera_curius";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lamproptera_meges";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Protographium_philolaus";0;28.719;0;21.2;2.553;0;0;1.423;0;1.779;0;4.171;18.617;21.539;0
"Protographium_epidaus";0;51.468;0;9.71;0;0;0;0;0.275;1.723;0;0.981;17.654;18.189;0
"Protographium_marcellus";0;0;0;0.556;48.904;0;5.626;42.173;0;0.125;0.684;1.912;0;0.02;0
"Parnassius_smintheus";1.075;0;0.002;17.006;16.519;6.95;58.088;0;0;0;0;0;0;0;0.36
"Parnassius_stubbendorfii";3.9;0.46;0;1.202;15.614;38.944;10.846;25.883;1.656;0;1.495;0;0;0;0
"Protesilaus_telesilaus";0;63.119;0;2.351;0.018;0;0;0;2.967;0.358;1.57;24.255;5.361;0;0
"Protesilaus_molops";0;65.356;0;2.523;0;0;0;0;3.095;0.289;1.533;22.715;4.489;0;0
"Protesilaus_protesilaus";0;60.869;0;2.578;0.029;0;0;0;3.317;0.539;1.484;23.011;6.579;1.593;0
"Parnassius_tenedius";13.14;0;0;1.992;8.81;67.669;6.651;0.11;1.628;0;0;0;0;0;0
"Graphium_nomius";0;48.893;0;11.284;0;0;0.863;1.783;5.54;0.968;0.28;0.632;27.849;1.177;0.732
"Graphium_adamastor";0;23.38;0;0;0;0;0;0;0;0.637;0;75.983;0;0;0
"Graphium_angolanus";0;17.084;0.295;5.623;0;0;0;0;1.832;0.301;3.003;71.68;0.183;0;0
"Graphium_ridleyanus";0;31.153;0;0.053;0;0;0;0;0.674;0.366;1.972;65.408;0.374;0;0
"Graphium_tynderaeus";0;44.969;0;0;0;0;0;0;0.01;0.551;0.61;53.618;0.243;0;0
"Graphium_latreillianus";0;38;0;0;0;0;0;0;0.182;0.437;1.06;60.229;0.093;0;0
"Graphium_leonidas";0;17.573;0.289;4.314;0;0;0;0;2.134;0.307;3.022;72.175;0.186;0;0
"Graphium_xenocles";0;65.645;0;0.053;0;0;2.79;2.499;4.136;1.391;0;0.543;22.031;0.433;0.478
"Graphium_antiphates";0;69.806;0;4.534;0;0;2.343;1.406;3.3;1.452;0;0.28;16.316;0.272;0.291
"Protographium_asius";0;67.155;0;0;0;0;0;0;0;0.035;0;30.561;2.249;0;0
"Graphium_arycles";0;81.055;0;0;0;0;1.713;0.33;0.184;1.767;0;0;14.92;0.031;0
"Graphium_evemon";0;81.055;0;0;0;0;1.713;0.33;0.184;1.767;0;0;14.92;0.031;0
"Protographium_leosthenes";0;5.168;0;0;0;0;0;39.027;0;0;0;55.805;0;0;0
"Graphium_doson";0;58.429;0;11.512;0;0;1.297;1.677;1.659;0.983;0.373;0.173;22.721;0.866;0.309
"Graphium_eurous";0;57.518;0;0.006;0;0;9.037;11.742;19.3;0;0;0.107;0.154;0.704;1.432
"Graphium_weiskei";0;93.031;0;0;0;0;0;0;2.923;2.079;0;1.966;0;0;0
"Sericinus_montela";0;15.45;0;17.651;6.502;0.003;5.898;27.541;25.269;0;1.103;0;0;0;0.585
"Graphium_wallacei";0;95.309;0;0;0;0;0;0;2.064;2.626;0;0;0;0;0
"Graphium_agamemnon";0.001;27.02;5.966;30.02;3.743;0;0.594;4.645;0.848;0.451;0.171;15.587;10.416;0.397;0.142
"Graphium_macfarlanei";0;88.183;0;0;0;0;0;0;1.611;2.55;0;7.656;0;0;0
